# silicate aerosol extinction cross-section (Mie; r_eff=0.2 um)
# optical constants: astrosil_D03.txt
# wavelength_Angstrom, sigma_cm2
3000.0, 3.561424e-09
3108.8, 3.608839e-09
3221.5, 3.651923e-09
3338.3, 3.701926e-09
3459.3, 3.740533e-09
3584.7, 3.790585e-09
3714.7, 3.822794e-09
3849.3, 3.868961e-09
3988.9, 3.892675e-09
4133.5, 3.931100e-09
4283.4, 3.944811e-09
4438.7, 3.972334e-09
4599.6, 3.974809e-09
4766.3, 3.988981e-09
4939.1, 3.978812e-09
5118.2, 3.977770e-09
5303.8, 3.953487e-09
5496.1, 3.935195e-09
5695.3, 3.896500e-09
5901.8, 3.861363e-09
6115.8, 3.807448e-09
6337.5, 3.754633e-09
6567.2, 3.685805e-09
6805.3, 3.617386e-09
7052.1, 3.536059e-09
7307.7, 3.453007e-09
7572.7, 3.360151e-09
7847.2, 3.264563e-09
8131.7, 3.162615e-09
8426.5, 3.058213e-09
8732.0, 2.949091e-09
9048.6, 2.837655e-09
9376.6, 2.723554e-09
9716.6, 2.607730e-09
10068.9, 2.490435e-09
10433.9, 2.372365e-09
10812.2, 2.254691e-09
11204.2, 2.136853e-09
11610.4, 2.020175e-09
12031.3, 1.904620e-09
12467.5, 1.791610e-09
12919.5, 1.681080e-09
13387.9, 1.574056e-09
13873.2, 1.469742e-09
14376.2, 1.368747e-09
14897.4, 1.272429e-09
15437.5, 1.180463e-09
15997.2, 1.091794e-09
16577.2, 1.007290e-09
17178.2, 9.272721e-10
17801.0, 8.521491e-10
18446.3, 7.817214e-10
19115.1, 7.158270e-10
19808.1, 6.543271e-10
20526.2, 5.969152e-10
21270.4, 5.432871e-10
22041.5, 4.935353e-10
22840.6, 4.481247e-10
23668.7, 4.065014e-10
24526.8, 3.684205e-10
25416.0, 3.336309e-10
26337.5, 3.019911e-10
27292.3, 2.731647e-10
28281.8, 2.467991e-10
29307.1, 2.228649e-10
30369.7, 2.012838e-10
31470.7, 1.819800e-10
32611.6, 1.648365e-10
33794.0, 1.494110e-10
35019.2, 1.355813e-10
36288.8, 1.232966e-10
37604.4, 1.123139e-10
38967.7, 1.025503e-10
40380.5, 9.382781e-11
41844.4, 8.602684e-11
43361.5, 7.898760e-11
44933.5, 7.276260e-11
46562.6, 6.727746e-11
48250.7, 6.247092e-11
50000.0, 5.830779e-11
