# water_ice aerosol extinction cross-section (Mie; r_eff=12.0 um)
# optical constants: ICE_Warren_2008.ri
# wavelength_Angstrom, sigma_cm2
3000.0, 9.280989e-06
3108.8, 9.278660e-06
3221.5, 9.247650e-06
3338.3, 9.269188e-06
3459.3, 9.240393e-06
3584.7, 9.285419e-06
3714.7, 9.267342e-06
3849.3, 9.320903e-06
3988.9, 9.305369e-06
4133.5, 9.306041e-06
4283.4, 9.336365e-06
4438.7, 9.294158e-06
4599.6, 9.350294e-06
4766.3, 9.263403e-06
4939.1, 9.366638e-06
5118.2, 9.278791e-06
5303.8, 9.393449e-06
5496.1, 9.294232e-06
5695.3, 9.409537e-06
5901.8, 9.317432e-06
6115.8, 9.422405e-06
6337.5, 9.355498e-06
6567.2, 9.432789e-06
6805.3, 9.392461e-06
7052.1, 9.442621e-06
7307.7, 9.403813e-06
7572.7, 9.434268e-06
7847.2, 9.426952e-06
8131.7, 9.432540e-06
8426.5, 9.461065e-06
8732.0, 9.440595e-06
9048.6, 9.483081e-06
9376.6, 9.463244e-06
9716.6, 9.509924e-06
10068.9, 9.487550e-06
10433.9, 9.545717e-06
10812.2, 9.510922e-06
11204.2, 9.572939e-06
11610.4, 9.545935e-06
12031.3, 9.593651e-06
12467.5, 9.566218e-06
12919.5, 9.615191e-06
13387.9, 9.607044e-06
13873.2, 9.612116e-06
14376.2, 9.619029e-06
14897.4, 9.642884e-06
15437.5, 9.656257e-06
15997.2, 9.669668e-06
16577.2, 9.690223e-06
17178.2, 9.702193e-06
17801.0, 9.721627e-06
18446.3, 9.763758e-06
19115.1, 9.797811e-06
19808.1, 9.829762e-06
20526.2, 9.832164e-06
21270.4, 9.861624e-06
22041.5, 9.860632e-06
22840.6, 9.836653e-06
23668.7, 9.860285e-06
24526.8, 9.906726e-06
25416.0, 9.981238e-06
26337.5, 1.001386e-05
27292.3, 1.019505e-05
28281.8, 9.091614e-06
29307.1, 9.375496e-06
30369.7, 9.771083e-06
31470.7, 9.955516e-06
32611.6, 1.001045e-05
33794.0, 1.006622e-05
35019.2, 1.011488e-05
36288.8, 1.010932e-05
37604.4, 1.017818e-05
38967.7, 1.023422e-05
40380.5, 1.021844e-05
41844.4, 1.028995e-05
43361.5, 1.030125e-05
44933.5, 1.034510e-05
46562.6, 1.036191e-05
48250.7, 1.044963e-05
50000.0, 1.048483e-05
